                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9945,                 2.2231,                 1.0492,                0.62667,                0.39396,                0.39358,                 0.2615,                0.94255,                 2.1689,                0.83959,             0.00023139,             0.00023139,             0.00023139
                      2,                0.90883,                0.77724,                0.98087,                0.63807,                0.35229,                  0.317,                0.19224,                 1.0237,                 2.3704,                0.92882,             0.00046474,             0.00046474,             0.00046474
                      3,                0.94828,                0.78821,                 1.0036,                0.54627,                0.39098,                0.32106,                0.16805,                 1.2852,                 5.7533,                 1.2006,             0.00069338,             0.00069338,             0.00069338
                      4,                0.93434,                0.76013,                 1.0079,                0.60107,                0.43438,                0.41734,                0.24165,                 1.0858,                 2.5813,                 0.9589,             0.00069279,             0.00069279,             0.00069279
                      5,                0.91006,                0.69915,                0.98384,                0.75801,                0.46093,                0.51438,                0.30682,                 1.0122,                 1.0661,                0.88344,             0.00068573,             0.00068573,             0.00068573
                      6,                0.87645,                0.63645,                0.96804,                0.73617,                 0.4549,                0.52722,                 0.3326,                0.95935,                0.89186,                 0.8763,             0.00067866,             0.00067866,             0.00067866
                      7,                0.86743,                0.62694,                0.96826,                0.76017,                0.51264,                0.57285,                0.34421,                0.99585,                0.82904,                0.90775,             0.00067159,             0.00067159,             0.00067159
                      8,                0.85924,                0.59247,                0.94722,                0.79965,                0.53035,                0.59372,                   0.36,                0.93144,                0.69971,                0.85458,             0.00066452,             0.00066452,             0.00066452
                      9,                0.82849,                0.59241,                0.95881,                 0.7716,                0.50197,                0.56673,                0.34326,                0.92816,                0.86957,                0.84737,             0.00065745,             0.00065745,             0.00065745
                     10,                0.82554,                0.55477,                 0.9374,                0.86655,                 0.5357,                0.62487,                0.38882,                0.88431,                0.59403,                0.83181,             0.00065038,             0.00065038,             0.00065038
                     11,                0.83515,                0.55064,                0.93393,                0.78985,                0.54529,                0.61625,                0.38673,                0.86163,                0.60478,                0.82117,             0.00064331,             0.00064331,             0.00064331
                     12,                0.83162,                0.59652,                 0.9198,                0.80838,                 0.5563,                0.61275,                0.38157,                0.86061,                0.59557,                0.82428,             0.00063625,             0.00063625,             0.00063625
                     13,                0.79405,                 0.5201,                0.93023,                0.81578,                0.56759,                0.63286,                0.39633,                0.85778,                0.54582,                0.81516,             0.00062918,             0.00062918,             0.00062918
                     14,                0.78893,                0.52092,                0.92203,                0.83471,                0.56773,                0.63263,                0.39771,                0.85538,                0.53456,                0.81453,             0.00062211,             0.00062211,             0.00062211
                     15,                0.77862,                0.49735,                0.91708,                0.81008,                0.59027,                0.64471,                0.40818,                0.84746,                0.52115,                0.80968,             0.00061504,             0.00061504,             0.00061504
                     16,                0.77182,                0.49776,                0.92468,                0.83913,                0.56795,                0.63895,                0.39966,                0.86671,                0.53806,                0.83133,             0.00060797,             0.00060797,             0.00060797
                     17,                0.79111,                  0.501,                0.94074,                0.83247,                0.57589,                0.65066,                0.40403,                0.84814,                0.53572,                0.80777,              0.0006009,              0.0006009,              0.0006009
                     18,                0.77376,                0.50263,                0.93582,                0.84667,                 0.5866,                 0.6563,                  0.411,                0.81981,                0.51405,                0.79921,             0.00059383,             0.00059383,             0.00059383
                     19,                0.76841,                0.47881,                0.91737,                0.83493,                0.58473,                 0.6582,                0.41481,                0.81194,                0.54509,                0.79777,             0.00058677,             0.00058677,             0.00058677
                     20,                0.75568,                0.47266,                0.91793,                0.85742,                0.58853,                0.67329,                0.43192,                0.80272,                0.47801,                0.79128,              0.0005797,              0.0005797,              0.0005797
                     21,                0.73538,                0.45516,                0.91118,                 0.8549,                0.60042,                 0.6747,                0.42911,                0.82665,                0.48033,                0.80535,             0.00057263,             0.00057263,             0.00057263
                     22,                0.77236,                0.48613,                0.91731,                0.84448,                0.60015,                0.67179,                0.43094,                0.81577,                0.48107,                0.79725,             0.00056556,             0.00056556,             0.00056556
                     23,                0.72416,                0.45837,                0.90512,                0.81854,                0.59061,                0.66003,                0.41832,                0.81252,                0.48645,                0.78621,             0.00055849,             0.00055849,             0.00055849
                     24,                0.72069,                0.44162,                0.90512,                0.85851,                 0.6041,                0.68421,                0.44166,                0.79754,                0.47461,                0.79028,             0.00055142,             0.00055142,             0.00055142
                     25,                0.72351,                0.44995,                0.90935,                0.86337,                0.60586,                0.69593,                0.44312,                0.79271,                0.48061,                0.78902,             0.00054435,             0.00054435,             0.00054435
                     26,                0.71266,                0.44364,                0.91743,                0.84246,                0.61087,                0.68719,                0.43382,                0.80382,                0.46765,                0.79384,             0.00053728,             0.00053728,             0.00053728
                     27,                0.72409,                0.44526,                0.90155,                0.84569,                0.61675,                0.68434,                0.43385,                0.79527,                0.46074,                0.78615,             0.00053022,             0.00053022,             0.00053022
                     28,                0.70688,                0.43361,                0.89732,                0.86618,                0.61134,                0.68282,                0.44053,                0.77583,                0.46371,                 0.7856,             0.00052315,             0.00052315,             0.00052315
                     29,                0.68075,                0.41465,                0.88945,                0.88858,                0.61642,                0.69935,                0.45515,                0.78195,                0.44138,                0.78026,             0.00051608,             0.00051608,             0.00051608
                     30,                0.71195,                0.43093,                0.90193,                0.88736,                0.61049,                0.69644,                0.44359,                0.79535,                0.44142,                0.79471,             0.00050901,             0.00050901,             0.00050901
                     31,                0.68177,                0.41697,                0.89372,                0.85815,                0.62722,                0.70006,                0.44855,                  0.773,                 0.4472,                 0.7815,             0.00050194,             0.00050194,             0.00050194
                     32,                0.69881,                0.42232,                0.89192,                0.86678,                0.61138,                0.69193,                0.44576,                0.78392,                0.45324,                0.78169,             0.00049487,             0.00049487,             0.00049487
                     33,                0.67917,                0.41378,                0.89072,                0.87296,                0.61587,                0.70442,                0.45839,                 0.7792,                0.45473,                0.78774,              0.0004878,              0.0004878,              0.0004878
                     34,                0.69362,                 0.4153,                 0.9041,                0.85792,                 0.6318,                0.70047,                0.45153,                0.77175,                0.45251,                0.78384,             0.00048074,             0.00048074,             0.00048074
                     35,                0.69701,                0.41697,                0.90319,                0.88198,                 0.6196,                0.70233,                0.46036,                0.77342,                0.43733,                0.79052,             0.00047367,             0.00047367,             0.00047367
                     36,                0.67491,                 0.4066,                0.89016,                0.86734,                0.63081,                0.70664,                0.46116,                0.75914,                0.41941,                0.77765,              0.0004666,              0.0004666,              0.0004666
                     37,                0.68439,                0.41275,                0.89857,                0.87556,                0.62402,                0.70759,                0.46714,                0.76649,                 0.4368,                0.78405,             0.00045953,             0.00045953,             0.00045953
                     38,                0.65899,                0.41239,                0.87343,                0.86209,                0.63746,                0.70876,                 0.4639,                0.75891,                0.42532,                0.77889,             0.00045246,             0.00045246,             0.00045246
                     39,                0.66274,                0.38883,                 0.8886,                0.85931,                0.64292,                0.71579,                0.46513,                 0.7672,                0.43139,                0.78936,             0.00044539,             0.00044539,             0.00044539
                     40,                0.66623,                 0.3939,                0.88623,                0.85917,                0.63371,                0.71829,                0.46678,                0.75949,                0.41579,                0.77654,             0.00043832,             0.00043832,             0.00043832
                     41,                0.65638,                 0.3997,                0.89151,                0.85856,                0.63121,                 0.7125,                0.46561,                0.76005,                0.42677,                0.78041,             0.00043126,             0.00043126,             0.00043126
                     42,                0.65984,                0.39796,                0.88632,                0.87697,                0.63274,                0.71499,                0.46395,                0.74763,                0.41363,                0.76834,             0.00042419,             0.00042419,             0.00042419
                     43,                0.65141,                 0.4261,                0.89082,                0.88231,                0.62818,                0.71548,                0.47871,                0.75141,                0.41669,                0.78609,             0.00041712,             0.00041712,             0.00041712
                     44,                0.66664,                0.38373,                0.87575,                0.86618,                 0.6512,                0.72852,                0.48194,                0.75129,                0.41268,                0.77363,             0.00041005,             0.00041005,             0.00041005
                     45,                0.63716,                0.37348,                0.88837,                0.85826,                 0.6521,                0.72795,                0.48173,                0.74631,                0.40851,                0.77443,             0.00040298,             0.00040298,             0.00040298
                     46,                0.62709,                0.36784,                0.88367,                0.87651,                0.63575,                0.72546,                0.47926,                0.76919,                0.42387,                0.79321,             0.00039591,             0.00039591,             0.00039591
                     47,                0.63827,                0.37405,                0.87952,                0.86243,                0.65128,                0.72649,                0.48221,                0.74694,                0.41179,                0.77887,             0.00038884,             0.00038884,             0.00038884
                     48,                 0.6511,                0.37264,                0.88099,                0.87892,                0.63885,                0.72671,                0.47887,                0.74382,                0.41352,                0.77877,             0.00038178,             0.00038178,             0.00038178
                     49,                0.67214,                0.49299,                 0.8647,                0.87073,                0.65153,                0.72777,                0.48237,                0.73802,                0.40174,                 0.7745,             0.00037471,             0.00037471,             0.00037471
                     50,                 0.6488,                0.37034,                0.87524,                0.88118,                0.64318,                0.72336,                0.48225,                0.72317,                0.38817,                0.76283,             0.00036764,             0.00036764,             0.00036764
                     51,                0.62749,                0.36654,                0.88597,                0.86707,                0.64357,                0.72607,                 0.4872,                0.72816,                0.39186,                0.76732,             0.00036057,             0.00036057,             0.00036057
                     52,                0.61966,                 0.3587,                0.87879,                0.85754,                0.66214,                0.73919,                 0.4862,                0.74264,                0.39433,                0.77353,              0.0003535,              0.0003535,              0.0003535
                     53,                0.61611,                0.36012,                0.87941,                0.87519,                0.65134,                0.73371,                0.48683,                 0.7238,                0.39672,                0.77026,             0.00034643,             0.00034643,             0.00034643
                     54,                0.60751,                0.35481,                0.87361,                0.88668,                0.64333,                0.73326,                 0.4877,                 0.7341,                0.39914,                0.77344,             0.00033936,             0.00033936,             0.00033936
                     55,                0.62034,                0.36447,                 0.8748,                0.86161,                0.65998,                0.73611,                 0.4904,                0.73368,                 0.3962,                0.77794,              0.0003323,              0.0003323,              0.0003323
                     56,                0.59946,                0.34857,                0.87697,                0.86984,                0.65963,                0.74049,                0.49271,                0.72348,                0.38543,                0.76723,             0.00032523,             0.00032523,             0.00032523
                     57,                0.62103,                0.35694,                 0.8664,                0.86918,                0.66725,                 0.7428,                0.49575,                0.71665,                0.38436,                0.76397,             0.00031816,             0.00031816,             0.00031816
                     58,                0.60508,                0.34915,                0.87581,                0.88351,                0.64509,                0.73354,                0.48663,                0.72894,                0.39257,                0.77113,             0.00031109,             0.00031109,             0.00031109
                     59,                0.61414,                0.34655,                0.87133,                0.89163,                0.64618,                0.73957,                0.49136,                0.72367,                0.38156,                0.77212,             0.00030402,             0.00030402,             0.00030402
                     60,                0.60658,                0.34285,                0.87411,                 0.8894,                0.65537,                0.74771,                0.49668,                0.71912,                0.38375,                0.77249,             0.00029695,             0.00029695,             0.00029695
                     61,                0.60861,                0.34694,                0.86882,                0.87582,                0.66021,                0.74744,                0.49878,                 0.7196,                0.38219,                0.77189,             0.00028988,             0.00028988,             0.00028988
                     62,                0.59682,                0.33671,                 0.8739,                0.88955,                0.66005,                0.74434,                0.49601,                0.71933,                0.37362,                0.77345,             0.00028282,             0.00028282,             0.00028282
                     63,                 0.6047,                0.34179,                0.86605,                0.89523,                0.65167,                0.75036,                 0.5031,                0.71681,                0.37581,                0.77455,             0.00027575,             0.00027575,             0.00027575
                     64,                0.61508,                0.34508,                0.86427,                0.86705,                0.66573,                0.74973,                0.50364,                0.72975,                0.38442,                 0.7839,             0.00026868,             0.00026868,             0.00026868
                     65,                0.62081,                0.33833,                0.86797,                0.87991,                0.66101,                0.74727,                0.50115,                0.72439,                0.38474,                0.77969,             0.00026161,             0.00026161,             0.00026161
                     66,                 0.5959,                0.33706,                0.86868,                0.88104,                 0.6743,                0.75303,                0.50152,                 0.7167,                0.38393,                0.77726,             0.00025454,             0.00025454,             0.00025454
                     67,                0.60452,                0.34263,                0.86855,                0.87486,                0.66978,                0.75968,                0.50862,                0.71285,                0.37171,                0.77563,             0.00024747,             0.00024747,             0.00024747
                     68,                0.57796,                0.32956,                0.85831,                0.88654,                0.65663,                0.74709,                0.50288,                 0.7201,                0.37834,                0.77915,              0.0002404,              0.0002404,              0.0002404
                     69,                0.60105,                 0.3374,                0.86578,                0.87928,                0.66704,                0.75411,                0.50426,                0.71422,                0.37354,                0.77151,             0.00023334,             0.00023334,             0.00023334
                     70,                0.58709,                0.33111,                0.86597,                 0.8864,                0.66682,                0.75369,                0.50701,                0.71755,                0.37163,                 0.7813,             0.00022627,             0.00022627,             0.00022627
                     71,                0.57914,                 0.3251,                0.86268,                0.89096,                0.66835,                0.75341,                0.50575,                0.71442,                0.36941,                0.77597,              0.0002192,              0.0002192,              0.0002192
                     72,                0.58152,                0.32285,                 0.8638,                0.87215,                0.66753,                0.76172,                0.51422,                0.71665,                0.37488,                0.77495,             0.00021213,             0.00021213,             0.00021213
                     73,                0.57883,                0.32899,                0.87097,                0.89191,                0.66216,                0.75731,                0.50829,                0.71238,                0.36921,                0.77494,             0.00020506,             0.00020506,             0.00020506
                     74,                0.56575,                0.32196,                0.87023,                0.89181,                0.66444,                0.75429,                0.50552,                 0.7219,                0.37219,                 0.7762,             0.00019799,             0.00019799,             0.00019799
                     75,                0.59023,                0.32012,                0.87204,                0.88674,                 0.6625,                0.76031,                0.51218,                0.71678,                0.37165,                0.77495,             0.00019092,             0.00019092,             0.00019092
                     76,                0.58079,                 0.3176,                0.85658,                0.89363,                0.66735,                0.76096,                0.51316,                0.71463,                0.37521,                0.77487,             0.00018385,             0.00018385,             0.00018385
                     77,                0.58125,                0.32099,                0.86109,                0.88202,                0.66372,                 0.7528,                0.50704,                0.70961,                0.37619,                 0.7751,             0.00017679,             0.00017679,             0.00017679
                     78,                0.57609,                0.31333,                0.86776,                0.88252,                0.67153,                0.75969,                0.51151,                 0.7061,                0.36676,                0.77344,             0.00016972,             0.00016972,             0.00016972
                     79,                0.57096,                0.31355,                0.86504,                 0.8891,                0.67278,                0.76267,                0.51697,                0.71357,                 0.3664,                0.77821,             0.00016265,             0.00016265,             0.00016265
                     80,                0.55945,                   0.31,                0.85737,                0.88082,                0.67625,                0.76507,                0.51711,                0.71163,                0.37145,                0.77293,             0.00015558,             0.00015558,             0.00015558
                     81,                0.56048,                0.31422,                0.85969,                0.87142,                 0.6831,                0.76506,                0.51435,                 0.7015,                0.36528,                0.76811,             0.00014851,             0.00014851,             0.00014851
                     82,                0.56878,                0.31355,                0.86014,                0.85714,                0.68827,                0.76184,                0.51467,                0.70302,                0.36121,                0.77331,             0.00014144,             0.00014144,             0.00014144
                     83,                0.56816,                0.30888,                 0.8601,                0.86114,                0.68343,                 0.7667,                0.51942,                0.70287,                0.36164,                 0.7723,             0.00013437,             0.00013437,             0.00013437
                     84,                0.56435,                0.31377,                0.85935,                0.88821,                0.67051,                 0.7652,                0.51714,                0.70266,                 0.3611,                0.77151,             0.00012731,             0.00012731,             0.00012731
                     85,                 0.5601,                0.30548,                0.86564,                0.89343,                0.66685,                0.76125,                0.51711,                0.70006,                0.36035,                 0.7685,             0.00012024,             0.00012024,             0.00012024
                     86,                 0.5978,                0.47138,                 0.8994,                0.90126,                0.65675,                0.76312,                0.51618,                0.69986,                0.36288,                0.76944,             0.00011317,             0.00011317,             0.00011317
                     87,                0.56356,                0.30105,                0.86049,                0.87572,                0.68193,                0.76536,                0.51889,                0.70014,                 0.3599,                0.77559,              0.0001061,              0.0001061,              0.0001061
                     88,                0.55409,                0.30099,                0.85651,                0.88058,                0.67088,                0.76411,                0.51907,                0.70078,                0.36293,                0.77417,             9.9032e-05,             9.9032e-05,             9.9032e-05
