                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9116,                 1.0536,                 1.7902,                0.84987,                0.57813,                0.65613,                0.41629,                 2.0208,                  1.145,                 1.5916,             0.00048074,             0.00048074,             0.00048074
                     35,                  1.935,                 1.0898,                 1.8004,                0.81837,                0.60119,                0.67397,                0.43025,                 2.0059,                 1.0671,                 1.5896,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.8948,                 1.0472,                 1.7799,                0.85752,                 0.5859,                0.65928,                0.42144,                 2.0388,                 1.0779,                  1.598,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.9064,                 1.0551,                 1.7894,                0.84192,                0.59317,                0.67194,                0.42735,                 2.0139,                 1.0517,                 1.5981,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.8084,                 1.0433,                 1.7369,                0.82919,                0.59872,                0.67412,                0.42789,                 2.0143,                 1.0579,                 1.5925,             0.00045246,             0.00045246,             0.00045246
                     39,                  1.878,                 1.0269,                 1.7728,                0.83845,                0.59139,                0.66171,                0.42846,                  1.991,                 1.0662,                 1.5897,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.8674,                 1.0306,                 1.7694,                0.82135,                0.60124,                0.66778,                0.43155,                 1.9882,                 1.0749,                 1.5932,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.8427,                 1.0311,                 1.7742,                0.82341,                 0.6063,                 0.6766,                0.43041,                 1.9722,                  1.067,                 1.5903,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.8637,                  1.032,                 1.7693,                0.82962,                0.61259,                0.68341,                0.43853,                  1.953,                 1.0381,                 1.5813,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.8063,                 1.0093,                 1.7772,                 0.8492,                 0.6022,                0.67562,                0.43904,                 1.9471,                 1.0381,                 1.5785,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.8706,                 1.0052,                 1.7473,                0.86162,                0.61219,                0.69109,                0.44364,                 1.9496,                 1.0111,                 1.5756,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.7887,                0.96321,                 1.7616,                0.84714,                0.61386,                0.68665,                0.44555,                 1.9564,                  1.015,                 1.5833,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.7678,                0.95882,                 1.7576,                0.83647,                 0.6143,                0.68799,                 0.4428,                 1.9586,                 1.0148,                 1.5917,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.8072,                0.96595,                 1.7531,                0.84285,                0.59993,                0.67923,                0.43905,                 1.9553,                 1.0167,                 1.5756,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.8409,                0.97068,                 1.7532,                0.82115,                0.62265,                0.68806,                0.44228,                 1.9382,                 1.0159,                 1.5691,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.8264,                 1.0804,                 1.7255,                0.85974,                 0.6032,                0.68664,                0.44362,                 1.9464,                 1.0138,                 1.5843,             0.00037471,             0.00037471,             0.00037471
