                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0287,                 2.3637,                 1.0721,                0.73805,                0.44116,                0.48139,                0.27847,                0.96593,                 1.8008,                0.87587,             0.00023139,             0.00023139,             0.00023139
                      2,                0.91171,                0.74362,                0.98577,                0.70852,                0.42029,                0.45324,                0.27348,                 1.0759,                 1.7125,                0.99899,             0.00046474,             0.00046474,             0.00046474
                      3,                0.96335,                0.78275,                 1.0181,                0.44616,                0.35725,                 0.2671,                0.14058,                  1.277,                  5.435,                 1.1098,             0.00069338,             0.00069338,             0.00069338
                      4,                0.95502,                 0.7687,                 1.0225,                0.40385,                0.42465,                0.29496,                0.14898,                 1.5441,                 16.673,                   1.34,             0.00069279,             0.00069279,             0.00069279
                      5,                0.94749,                0.71484,                 1.0178,                0.70942,                0.46414,                0.49391,                0.28238,                 1.1001,                 1.1076,                0.96823,             0.00068573,             0.00068573,             0.00068573
                      6,                0.91492,                0.64889,                0.99072,                  0.664,                0.48303,                0.50297,                0.30971,                 1.0359,                 1.5457,                 0.9317,             0.00067866,             0.00067866,             0.00067866
                      7,                0.88809,                0.63341,                0.98247,                0.77259,                0.49406,                0.55632,                0.33984,                0.96304,                0.83008,                0.87304,             0.00067159,             0.00067159,             0.00067159
                      8,                0.87514,                0.60063,                0.96329,                 0.7874,                0.48789,                0.55636,                0.34112,                 0.9481,                0.90663,                0.85813,             0.00066452,             0.00066452,             0.00066452
                      9,                0.83689,                0.57508,                0.96694,                0.79036,                0.52839,                0.58805,                0.35168,                0.91219,                0.66312,                0.82779,             0.00065745,             0.00065745,             0.00065745
                     10,                0.84678,                0.55743,                0.95286,                0.79158,                0.52236,                0.59227,                0.36696,                0.90898,                0.65888,                0.83618,             0.00065038,             0.00065038,             0.00065038
                     11,                0.85464,                0.55664,                0.95131,                0.78074,                0.53301,                0.59399,                0.36015,                0.96246,                0.68786,                0.86083,             0.00064331,             0.00064331,             0.00064331
                     12,                0.84085,                0.56433,                0.93648,                 0.8385,                0.54179,                0.61073,                0.36932,                 0.8936,                 0.5514,                0.82673,             0.00063625,             0.00063625,             0.00063625
                     13,                0.82326,                0.52711,                0.94524,                0.80338,                 0.5561,                0.61062,                0.37388,                0.85404,                0.62968,                0.81391,             0.00062918,             0.00062918,             0.00062918
                     14,                0.81195,                0.53804,                0.93437,                0.84133,                0.54636,                0.62878,                0.39195,                 0.8885,                0.55373,                0.83339,             0.00062211,             0.00062211,             0.00062211
                     15,                0.79844,                0.50916,                0.93292,                0.81294,                0.54758,                0.60998,                0.38437,                0.85596,                 0.5812,                0.81768,             0.00061504,             0.00061504,             0.00061504
                     16,                0.79699,                0.51982,                0.93861,                0.81152,                0.57794,                0.63897,                0.40072,                0.82994,                0.53277,                0.80005,             0.00060797,             0.00060797,             0.00060797
                     17,                0.80707,                0.52442,                0.95033,                0.82066,                0.57176,                0.63851,                0.39593,                0.84645,                  0.549,                0.80514,              0.0006009,              0.0006009,              0.0006009
                     18,                0.78197,                0.51312,                0.94667,                0.83892,                0.56895,                0.64018,                0.39422,                0.85504,                0.51422,                0.81315,             0.00059383,             0.00059383,             0.00059383
                     19,                0.77983,                0.48056,                0.92885,                0.84261,                0.55934,                 0.6414,                0.40165,                0.84884,                0.52224,                0.81934,             0.00058677,             0.00058677,             0.00058677
