                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1463,                 2.8255,                 1.1197,                0.99829,                0.05159,                 0.0834,                0.07238,                 1.1509,                 3.1571,                0.86911,             0.00023139,             0.00023139,             0.00023139
                      2,                 1.0059,                  1.337,                 1.0105,                0.89281,                0.07236,                0.17628,                 0.1221,                 1.1727,                 2.6235,                0.90522,             0.00046474,             0.00046474,             0.00046474
                      3,                 0.9771,                 1.1437,                 1.0144,                0.85606,                0.27255,                0.38264,                 0.2391,                 1.1168,                 1.5943,                0.89865,             0.00069338,             0.00069338,             0.00069338
                      4,                0.95155,                 1.0537,                  1.014,                0.74756,                 0.3279,                0.38736,                0.22878,                 1.1008,                 1.2261,                0.89798,             0.00069279,             0.00069279,             0.00069279
                      5,                0.94184,                0.93161,                0.99638,                0.69292,                0.40136,                0.43342,                0.25953,                 1.0237,                 1.0384,                0.85363,             0.00068573,             0.00068573,             0.00068573
                      6,                0.91353,                0.82517,                0.98684,                0.76492,                0.40687,                0.46508,                0.28363,                 1.0154,                 0.8455,                0.86734,             0.00067866,             0.00067866,             0.00067866
                      7,                 0.9086,                0.77434,                0.98506,                  0.748,                0.40139,                0.45572,                 0.2752,                 1.0298,                0.87284,                0.87522,             0.00067159,             0.00067159,             0.00067159
                      8,                0.90067,                0.73039,                0.96684,                0.77532,                0.42095,                0.49325,                0.30512,                0.96273,                0.74098,                0.84103,             0.00066452,             0.00066452,             0.00066452
                      9,                0.86944,                0.70251,                0.97497,                0.71101,                 0.4606,                0.51346,                0.30373,                0.97901,                0.73521,                0.84623,             0.00065745,             0.00065745,             0.00065745
                     10,                0.88754,                0.67886,                  0.965,                0.73355,                0.46444,                0.51618,                0.31734,                0.94399,                0.67441,                0.83837,             0.00065038,             0.00065038,             0.00065038
                     11,                 0.8873,                0.65854,                0.95769,                0.73717,                0.46092,                0.50877,                0.30537,                0.93992,                0.66882,                0.81763,             0.00064331,             0.00064331,             0.00064331
                     12,                0.89071,                0.72297,                0.94064,                0.77957,                 0.4417,                 0.5147,                0.31014,                0.97708,                0.68391,                0.83527,             0.00063625,             0.00063625,             0.00063625
                     13,                0.86613,                0.62999,                0.95387,                0.70042,                0.47728,                0.50382,                0.30928,                0.89861,                0.90913,                0.80669,             0.00062918,             0.00062918,             0.00062918
                     14,                0.86749,                0.63579,                0.94855,                0.76904,                0.46919,                0.53454,                0.33107,                0.92184,                0.60891,                0.82872,             0.00062211,             0.00062211,             0.00062211
                     15,                0.85614,                0.59633,                0.94761,                0.77936,                0.46693,                 0.5246,                0.31918,                0.93938,                0.66358,                0.82861,             0.00061504,             0.00061504,             0.00061504
                     16,                0.84177,                0.58628,                0.95259,                0.76285,                0.49727,                0.54768,                0.33357,                0.91718,                0.59827,                0.82062,             0.00060797,             0.00060797,             0.00060797
                     17,                0.84401,                0.58037,                0.95751,                0.80446,                0.49828,                0.56366,                0.34914,                  0.876,                 0.5672,                0.79705,              0.0006009,              0.0006009,              0.0006009
                     18,                0.85656,                0.60846,                0.98434,                 0.7826,                 0.4784,                0.54414,                0.33718,                0.88283,                0.61179,                0.80267,             0.00059383,             0.00059383,             0.00059383
                     19,                0.86201,                0.57259,                0.95623,                0.79837,                 0.4895,                0.54513,                0.33831,                0.87488,                0.60534,                  0.802,             0.00058677,             0.00058677,             0.00058677
                     20,                0.82207,                0.55607,                  0.945,                0.78856,                0.48977,                0.55684,                0.34737,                0.89547,                0.62953,                0.81609,              0.0005797,              0.0005797,              0.0005797
                     21,                0.82176,                0.55388,                0.94676,                0.79376,                 0.4932,                0.55474,                0.34089,                0.88301,                0.58638,                0.80488,             0.00057263,             0.00057263,             0.00057263
                     22,                0.84031,                0.57195,                0.94107,                 0.8055,                0.50177,                0.56598,                0.35416,                0.86104,                0.55673,                0.80314,             0.00056556,             0.00056556,             0.00056556
                     23,                0.79215,                0.52845,                0.93303,                0.80009,                0.50057,                0.56456,                0.35175,                0.85401,                 0.5315,                0.78886,             0.00055849,             0.00055849,             0.00055849
                     24,                0.79647,                0.52331,                0.93428,                0.79909,                0.51236,                0.57632,                0.35787,                0.86262,                0.52865,                0.80308,             0.00055142,             0.00055142,             0.00055142
                     25,                0.78792,                0.53048,                0.92614,                0.80979,                 0.5131,                  0.585,                0.36356,                0.83524,                0.50758,                0.79042,             0.00054435,             0.00054435,             0.00054435
                     26,                   0.78,                0.50493,                0.94434,                 0.8041,                0.51762,                0.59142,                0.37499,                0.83579,                0.52588,                0.79085,             0.00053728,             0.00053728,             0.00053728
                     27,                0.82466,                0.52618,                0.93236,                 0.7941,                0.51971,                0.58405,                0.36606,                 0.8688,                0.53778,                0.80626,             0.00053022,             0.00053022,             0.00053022
                     28,                0.78131,                0.50844,                0.92771,                0.80781,                0.53077,                0.59128,                0.37113,                0.83404,                0.50008,                 0.7902,             0.00052315,             0.00052315,             0.00052315
                     29,                 0.7676,                0.49087,                0.91918,                0.82089,                0.52172,                0.58934,                0.36453,                0.85764,                0.53767,                0.79106,             0.00051608,             0.00051608,             0.00051608
                     30,                 0.7991,                0.51023,                0.93872,                0.79987,                0.53004,                0.59275,                0.37282,                0.82629,                0.51602,                0.79133,             0.00050901,             0.00050901,             0.00050901
                     31,                0.75955,                0.49467,                0.92241,                0.84145,                0.51799,                0.59544,                 0.3728,                0.85686,                0.51146,                0.78773,             0.00050194,             0.00050194,             0.00050194
                     32,                0.77581,                0.49032,                0.91822,                0.85003,                0.50755,                0.58939,                 0.3713,                0.83458,                0.50362,                0.78826,             0.00049487,             0.00049487,             0.00049487
                     33,                0.75645,                0.47866,                0.91994,                0.80864,                0.51597,                0.58652,                0.36606,                 0.8425,                0.49871,                0.79278,              0.0004878,              0.0004878,              0.0004878
                     34,                0.77893,                0.49321,                0.93103,                0.80083,                0.53337,                0.59452,                0.37002,                0.85164,                0.59547,                0.80437,             0.00048074,             0.00048074,             0.00048074
