                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8596,                 8.1766,                 2.1273,                0.00723,                0.12148,                0.06129,                0.05293,                 2.7401,                 8.3742,                  1.733,             0.00023139,             0.00023139,             0.00023139
                      2,                 2.5793,                 4.8345,                 1.9804,                0.92885,                0.05346,                0.11694,                0.08964,                 2.6527,                 7.6712,                 1.7711,             0.00046474,             0.00046474,             0.00046474
                      3,                 2.5306,                 4.1114,                 1.9897,                0.94103,                0.08698,                0.13264,                0.09731,                 2.8265,                 6.1534,                    1.9,             0.00069338,             0.00069338,             0.00069338
                      4,                  2.474,                 3.5633,                 1.9885,                0.73824,                0.17767,                0.26558,                0.15685,                 2.8551,                 3.8285,                 1.9318,             0.00069279,             0.00069279,             0.00069279
                      5,                  2.496,                 3.0313,                 1.9636,                0.53187,                0.36233,                 0.3643,                0.20998,                 2.6235,                 2.3489,                 1.7614,             0.00068573,             0.00068573,             0.00068573
                      6,                 2.4568,                 2.5753,                 1.9388,                0.55691,                0.39103,                0.40048,                0.22153,                 2.6084,                 2.4078,                 1.7907,             0.00067866,             0.00067866,             0.00067866
                      7,                  2.408,                 2.3529,                 1.9296,                0.60599,                0.38513,                0.40534,                 0.2274,                 2.6025,                 2.2091,                 1.7738,             0.00067159,             0.00067159,             0.00067159
                      8,                 2.4342,                 2.1683,                 1.9111,                0.62579,                0.39627,                0.43469,                0.25651,                 2.5041,                 1.9185,                 1.7068,             0.00066452,             0.00066452,             0.00066452
                      9,                 2.3145,                  2.009,                 1.9198,                0.63726,                0.41841,                0.45669,                0.26345,                 2.5402,                 1.8819,                 1.7184,             0.00065745,             0.00065745,             0.00065745
                     10,                 2.3681,                 1.9135,                 1.8955,                0.63926,                0.42244,                0.46928,                0.27887,                 2.4322,                 1.8428,                 1.6956,             0.00065038,             0.00065038,             0.00065038
                     11,                 2.3975,                 1.8673,                 1.8811,                0.63694,                0.40622,                0.44605,                0.26321,                 2.7172,                 2.1739,                 1.8982,             0.00064331,             0.00064331,             0.00064331
                     12,                 2.3588,                 2.0301,                 1.8585,                 0.6702,                0.42035,                0.46735,                0.28174,                 2.4597,                  1.775,                 1.7013,             0.00063625,             0.00063625,             0.00063625
                     13,                 2.3018,                 1.7281,                 1.8812,                0.66366,                0.46362,                0.49938,                0.30029,                 2.3975,                 1.7594,                  1.688,             0.00062918,             0.00062918,             0.00062918
                     14,                 2.3344,                 1.7521,                 1.8667,                0.68301,                0.46388,                0.51017,                0.30718,                 2.4127,                  1.637,                 1.6871,             0.00062211,             0.00062211,             0.00062211
                     15,                  2.286,                 1.6461,                 1.8624,                0.68074,                0.44699,                0.49892,                0.28533,                 2.4508,                 1.8767,                 1.7018,             0.00061504,             0.00061504,             0.00061504
                     16,                 2.2826,                 1.6617,                 1.8697,                 0.6928,                0.45326,                0.50286,                0.31023,                  2.321,                 1.6029,                 1.6461,             0.00060797,             0.00060797,             0.00060797
                     17,                 2.2566,                 1.6032,                 1.8764,                0.74778,                0.43683,                 0.5185,                0.31236,                 2.3424,                 1.6248,                 1.6729,              0.0006009,              0.0006009,              0.0006009
                     18,                 2.2221,                 1.5761,                 1.8824,                0.69175,                0.44112,                0.49031,                0.29404,                 2.3939,                 1.7636,                 1.7248,             0.00059383,             0.00059383,             0.00059383
                     19,                 2.2832,                 1.5787,                  1.862,                0.72507,                0.47945,                0.53423,                0.32443,                 2.3028,                 1.5453,                 1.6598,             0.00058677,             0.00058677,             0.00058677
                     20,                 2.2127,                 1.5308,                 1.8535,                 0.6986,                0.46616,                0.51576,                0.30652,                 2.3523,                 1.5967,                 1.6712,              0.0005797,              0.0005797,              0.0005797
                     21,                 2.1744,                 1.4947,                 1.8418,                0.71124,                0.44892,                0.51528,                0.32158,                 2.3898,                 1.7451,                  1.705,             0.00057263,             0.00057263,             0.00057263
                     22,                 2.2847,                 1.5446,                  1.847,                0.73026,                0.48381,                0.53749,                0.32995,                 2.3064,                 1.4904,                 1.6586,             0.00056556,             0.00056556,             0.00056556
                     23,                 2.1749,                 1.4647,                 1.8368,                0.68104,                0.49934,                0.54467,                0.32587,                 2.2848,                 1.5417,                 1.6364,             0.00055849,             0.00055849,             0.00055849
                     24,                 2.1414,                 1.4361,                 1.8351,                0.69545,                0.49248,                 0.5351,                0.32328,                 2.3036,                 1.6038,                 1.6714,             0.00055142,             0.00055142,             0.00055142
                     25,                  2.138,                   1.43,                 1.8309,                0.75777,                0.50355,                0.56634,                0.33739,                 2.2623,                 1.4126,                 1.6311,             0.00054435,             0.00054435,             0.00054435
                     26,                 2.1115,                 1.4138,                 1.8456,                0.71723,                0.50307,                 0.5538,                 0.3419,                 2.2421,                 1.6666,                 1.6383,             0.00053728,             0.00053728,             0.00053728
                     27,                 2.2003,                  1.396,                 1.8286,                0.70327,                0.50211,                 0.5589,                 0.3387,                 2.3032,                 1.5713,                 1.6604,             0.00053022,             0.00053022,             0.00053022
                     28,                 2.1219,                 1.3794,                 1.8311,                0.71953,                0.50631,                0.56919,                 0.3505,                 2.1994,                 1.3713,                 1.6183,             0.00052315,             0.00052315,             0.00052315
                     29,                 2.0754,                 1.3253,                 1.8086,                0.73562,                0.51362,                0.57112,                0.35055,                   2.22,                 1.3729,                 1.6144,             0.00051608,             0.00051608,             0.00051608
                     30,                 2.1227,                 1.3524,                 1.8322,                0.72914,                0.51449,                0.57462,                0.35267,                 2.1694,                 1.3484,                 1.6164,             0.00050901,             0.00050901,             0.00050901
