                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0893,                 2.6886,                 1.1433,                0.77537,                 0.3092,                0.39028,                0.25265,                0.98275,                 2.6801,                0.86028,             0.00023139,             0.00023139,             0.00023139
                      2,                0.93507,                0.83821,                 1.0124,                0.70982,                0.45427,                0.48857,                0.29501,                  1.046,                0.85622,                0.92555,             0.00046474,             0.00046474,             0.00046474
                      3,                0.94077,                0.77903,                 1.0402,                 0.6224,                0.41863,                0.40999,                0.23074,                 1.1558,                 1.7933,                 1.0847,             0.00069338,             0.00069338,             0.00069338
                      4,                0.95006,                0.75886,                 1.0485,                 0.6652,                0.40209,                0.41902,                0.25779,                 1.0771,                 1.7556,                0.96675,             0.00069279,             0.00069279,             0.00069279
                      5,                0.92929,                0.69683,                 1.0231,                0.67855,                0.43445,                0.46056,                0.27611,                 1.0341,                 1.0297,                0.90656,             0.00068573,             0.00068573,             0.00068573
                      6,                0.90159,                 0.6493,                 1.0077,                0.73235,                 0.4601,                0.50511,                0.30994,                0.96622,                0.79904,                0.88121,             0.00067866,             0.00067866,             0.00067866
                      7,                0.89806,                0.63917,                 0.9917,                0.80039,                0.47995,                0.54333,                0.32754,                0.99169,                  0.679,                0.87137,             0.00067159,             0.00067159,             0.00067159
                      8,                0.88062,                0.60319,                0.97389,                0.77907,                 0.4879,                0.54707,                0.34047,                0.92328,                0.63242,                0.85661,             0.00066452,             0.00066452,             0.00066452
                      9,                0.84856,                0.59267,                 0.9846,                0.78178,                0.49783,                0.55305,                0.32924,                0.96086,                0.63987,                0.85243,             0.00065745,             0.00065745,             0.00065745
                     10,                 0.8507,                0.56623,                0.96692,                 0.7862,                0.49912,                0.56664,                0.35583,                0.87701,                0.66222,                0.81828,             0.00065038,             0.00065038,             0.00065038
                     11,                0.86867,                0.56585,                0.96865,                0.81496,                0.51317,                0.57275,                0.35367,                0.88736,                 0.6574,                0.82054,             0.00064331,             0.00064331,             0.00064331
                     12,                0.85734,                0.61787,                0.95037,                0.83488,                0.51266,                0.58084,                0.35808,                0.89959,                0.55363,                0.83486,             0.00063625,             0.00063625,             0.00063625
                     13,                0.84057,                0.54443,                0.95451,                0.81011,                0.52215,                0.58117,                0.35399,                0.91496,                0.59229,                0.82632,             0.00062918,             0.00062918,             0.00062918
                     14,                0.84136,                0.55527,                0.95362,                0.79859,                0.51966,                 0.5846,                0.36946,                0.85901,                0.53501,                0.80926,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.8125,                0.52325,                0.94579,                0.79698,                0.53821,                0.59668,                0.36807,                0.85314,                0.56649,                0.81418,             0.00061504,             0.00061504,             0.00061504
                     16,                0.81121,                0.51644,                0.95409,                0.82144,                0.54625,                0.61026,                 0.3789,                0.85787,                0.50345,                0.81172,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.8109,                0.51994,                  0.958,                0.84236,                0.55033,                0.61627,                0.38053,                0.86006,                0.52741,                0.81982,              0.0006009,              0.0006009,              0.0006009
                     18,                0.79983,                 0.5169,                0.96919,                0.83203,                0.54973,                0.61921,                0.38242,                0.83466,                0.51722,                0.80496,             0.00059383,             0.00059383,             0.00059383
                     19,                0.82427,                 0.5105,                0.94941,                 0.8292,                0.55465,                0.62437,                0.38853,                0.82635,                0.47926,                0.80355,             0.00058677,             0.00058677,             0.00058677
                     20,                0.79046,                0.49204,                0.94788,                0.82643,                0.55628,                0.61855,                0.39045,                0.84609,                0.50276,                0.81463,              0.0005797,              0.0005797,              0.0005797
                     21,                0.77039,                0.48538,                0.93919,                0.83291,                0.57048,                0.63591,                0.39345,                0.84322,                 0.4813,                 0.8063,             0.00057263,             0.00057263,             0.00057263
                     22,                0.79564,                0.50096,                0.93734,                0.82627,                0.56402,                0.62641,                0.39653,                0.81196,                0.47573,                0.79688,             0.00056556,             0.00056556,             0.00056556
                     23,                0.75818,                0.47518,                0.93144,                  0.839,                0.56281,                0.63073,                0.39767,                0.82556,                0.48403,                 0.8001,             0.00055849,             0.00055849,             0.00055849
                     24,                0.74971,                0.45912,                0.93084,                0.85099,                0.55971,                0.63835,                0.40234,                0.82888,                0.47093,                 0.8054,             0.00055142,             0.00055142,             0.00055142
                     25,                0.75398,                0.47876,                0.92795,                0.83252,                0.56061,                 0.6301,                0.39868,                0.82186,                0.47988,                0.79754,             0.00054435,             0.00054435,             0.00054435
                     26,                0.74702,                0.45774,                0.94086,                0.81443,                 0.5741,                0.63889,                0.40818,                0.80291,                 0.4621,                0.79176,             0.00053728,             0.00053728,             0.00053728
                     27,                0.77068,                0.47255,                0.93061,                0.82558,                0.57469,                0.64449,                0.40446,                0.80646,                0.45374,                0.79097,             0.00053022,             0.00053022,             0.00053022
                     28,                0.74086,                0.45583,                  0.925,                0.82824,                0.58649,                0.64671,                 0.4107,                0.79981,                0.45875,                0.79963,             0.00052315,             0.00052315,             0.00052315
                     29,                0.72914,                0.43953,                 0.9211,                0.85868,                0.58813,                0.65263,                0.42015,                0.79104,                0.45042,                 0.7902,             0.00051608,             0.00051608,             0.00051608
                     30,                0.74852,                0.44161,                0.93828,                0.86765,                0.58158,                0.65455,                0.41733,                0.78063,                0.43668,                0.79169,             0.00050901,             0.00050901,             0.00050901
                     31,                0.72491,                0.45041,                0.92495,                0.84693,                0.58142,                0.64611,                0.41076,                0.81674,                0.46038,                0.79541,             0.00050194,             0.00050194,             0.00050194
                     32,                0.73781,                0.44072,                0.91691,                0.80285,                0.59304,                0.65227,                0.41709,                 0.7916,                0.45732,                0.79462,             0.00049487,             0.00049487,             0.00049487
                     33,                0.71715,                0.43009,                0.91918,                0.83533,                0.58853,                0.65733,                0.42244,                0.79113,                0.44125,                0.79447,              0.0004878,              0.0004878,              0.0004878
